Mean Return,Standard Deviation
-160.75,29.7377
-165.02,26.1762
-155.52,28.8792
-163.97,28.7326
-157.36,28.4465
-162.31,26.5333
-160.27,29.1772
-160.21,28.2311
-162.62,27.6397
-162.91,26.6716
-155.47,29.698
-156.99,22.5319
-157.32,28.4065
-164.17,25.6409
-165.18,30.2693
-161.71,30.1569
-164.99,27.8385
-169.18,34.7968
-167.77,31.5303
-171.86,32.3091
-167.1,32.5311
-172.48,33.2087
-166.86,35.5593
-170.24,29.444
-171.89,32.2321
-169.72,34.0457
-170.43,34.1782
-168.68,29.2443
-171.41,31.2837
-172.44,31.1423
-171.96,34.5613
-172.48,34.1886
-178.4,34.9736
-168.37,31.2574
-172.78,29.3934
-167.72,30.2214
-167.66,27.3748
-173.41,29.5081
-166.78,31.5356
-170.25,29.9411
-165.32,30.3747
-174.2,31.0887
-173.06,34.6576
-175.32,29.7962
-164.47,27.7843
-170.93,27.2816
-174.73,31.7757
-176.81,31.358
-170.13,32.925
-177.48,33.5422
-173.67,27.8561
-176.77,29.8653
-175.53,34.3762
-177.72,32.3166
-179.7,32.1752
-175.09,31.4887
-179.58,26.8318
-182.01,27.8461
-171.28,26.2694
-178.37,28.8936
-178.67,27.107
-186.23,34.2232
-175.62,25.8261
-182.12,29.1198
-181.62,30.1564
-182.64,30.987
-178.94,32.8279
-183.37,26.3844
-180.09,28.9629
-179.45,28.7618
-181.92,27.7306
-176.77,25.83
-181.35,28.3618
-178.17,24.6614
-181.59,28.7613
