Mean Return,Standard Deviation
21.9,13.2905
20.93,10.5536
18.56,10.8491
21.24,11.8314
20.35,10.4014
20.73,11.8806
16.99,8.33939
20.13,10.7831
20.77,12.6506
18.32,9.45791
21.05,11.418
19.75,11.5692
21.05,12.7773
19.95,13.195
19.93,10.2753
20.94,11.5144
23.84,13.6313
21.62,12.7745
19.85,10.0658
21.81,13.3073
21.22,12.257
21.62,15.2738
19.83,12.1697
20.26,10.3803
21.14,11.3503
20.52,13.9411
20.15,12.1459
19.71,11.739
19.82,11.1911
21.19,12.4719
19.92,13.9644
22.74,14.8743
20.89,13.773
21.04,12.9871
22.2,17.2375
21.62,13.5578
21.34,12.7898
20.94,12.5326
20.73,13.1055
20.28,10.4167
20.88,10.5632
22.62,14.0488
19.13,13.1699
