Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
271,591.462,96.6746
272,607.522,95.4368
273,579.657,93.7202
274,605.081,94.3681
275,455.919,99.1241
276,454.683,100.748
277,491.929,89.47
278,503.619,88.9234
279,681.986,86.3498
280,673.294,86.7012
281,715.049,91.5057
282,707.304,92.3775
283,781.271,85.3355
284,809.057,84.0845
285,582.388,92.7457
286,601.381,90.5047
287,652.574,87.7148
288,652.264,86.9435
289,701.926,81.4953
290,681.324,81.9639
291,528.388,105.172
292,516.178,105.394
293,638.958,99.109
294,665.073,97.6755
295,702.446,83.7671
296,666.411,85.062
297,713.992,95.1594
298,683.583,95.085
299,732.158,91.2557
300,698.911,90.8147
301,766.155,88.7956
302,781.148,87.9431
303,753.777,92.83
304,770.723,90.7859
305,750.712,89.0732
306,740.362,89.7848
307,623.434,100.752
308,648.815,99.8179
309,704.992,83.4035
310,761.47,82.923
311,668.877,98.677
312,645.308,102.856
313,723.235,84.4263
314,716.441,85.1244
315,827.149,86.9269
316,808.095,89.8908
317,736.917,93.1286
318,753.156,93.8024
319,566.089,100.925
320,582.333,99.4897
321,801.504,81.8003
322,772.962,82.7067
323,747.562,97.1138
324,735.05,96.4627
325,665.11,93.818
326,677.598,92.4816
327,728.487,86.7983
328,713.011,90.8155
329,736.332,89.5035
330,745.438,89.3345
331,763.85,86.6836
332,764.547,87.1177
333,729.869,95.4825
334,754.998,91.9528
335,830.956,96.6174
336,828.577,96.5245
337,760.026,89.1932
338,765.869,89.2799
339,799.641,85.0691
340,814.875,85.2368
341,836.996,92.3746
342,848.661,92.9146
343,887.33,79.0945
344,904.978,78.4423
345,870.348,79.851
346,855.84,80.1552
347,925.067,75.8184
348,885.144,82.8815
349,809.33,93.0527
350,818.043,92.5721
351,842.135,88.247
352,848.011,87.0763
353,893.829,86.8174
354,885.24,86.5086
355,795.047,94.0911
356,793.305,93.6522
357,760.424,100.79
358,738.423,104.969
359,929.891,86.9027
360,919.588,87.2377
361,869.355,89.916
362,871.48,90.6387
363,835.84,97.5704
364,845.1,98.0329
365,979.024,85.206
366,976.635,84.7399
367,858.895,89.4214
368,850.206,92.3994
369,828.367,79.5433
370,835.667,79.1051
371,903.565,90.7363
372,899.476,91.0861
373,832.373,92.2359
374,842.994,92.2937
375,915.438,87.9712
376,939.588,80.1253
377,1012.1,74.6702
378,993.601,76.9779
379,988.975,81.7392
380,970.007,81.9693
381,975.366,81.4653
382,947.014,81.9912
383,920.49,97.5382
384,881.334,97.5618
385,1041.49,74.1833
386,1061.46,74.5087
387,951.941,86.3417
388,927.664,90.0255
389,861.465,82.6308
390,859.377,82.2924
391,811.495,89.6145
392,789.581,91.8297
393,820.403,88.9038
394,864.383,87.0879
395,934.372,86.7213
396,921.042,87.2214
397,884.263,83.4189
398,885.49,86.2072
399,917.808,92.0634
400,905.668,93.4687
401,1019.37,85.15
402,1050.12,83.7632
403,1001.77,78.351
404,998.3,76.5153
405,982.065,79.8725
406,983.492,79.9296
407,1000.92,87.4017
408,994.38,86.8175
409,996.588,73.2558
410,1004.81,73.2139
411,985.86,77.1967
412,1013.51,72.6246
413,1110.3,73.3547
414,1101.56,74.4957
415,999.954,86.4303
416,978.914,86.9675
417,967.828,79.2075
418,956.537,79.9782
419,1032.03,80.4943
420,1017.52,79.8907
421,1005.56,89.9335
422,1017.59,86.6944
423,1053.79,74.1851
424,1065.98,73.1659
425,980.085,84.7525
426,970.077,85.1328
427,971.362,81.4864
428,970.201,81.4258
429,990.56,84.6626
430,1002.63,82.9716
431,1016.05,80.6792
432,1010.4,80.9465
433,947.372,83.0864
434,992.756,78.3267
435,971.535,81.5959
436,976.472,81.5971
437,905.718,96.8846
438,893.828,97.1477
439,971.292,78.8461
440,966.07,80.3434
441,1128.58,69.6799
442,1137.2,69.1798
443,1067.87,87.3489
444,1069.88,88.2327
445,1093.56,71.3276
446,1076.51,71.758
447,953.256,88.7494
448,971.319,88.1997
449,900.036,93.7677
450,913.883,88.216
451,1046.12,79.5606
452,1015.93,81.3701
453,1003.27,83.7834
454,998.206,84.3555
455,1120.29,71.529
456,1116,71.0493
457,1140.79,74.1706
458,1134.24,76.7032
459,1015.74,88.3356
460,1004.44,89.6208
461,1080.06,84.8096
462,1065.66,85.1952
463,1030.33,79.9445
464,1032.3,79.6963
465,990.025,89.0866
466,970.58,89.6105
467,1035.27,84.7363
468,1037.75,82.8222
469,951.076,92.5714
470,969.665,90.8164
471,961.059,88.5432
472,921.645,90.5251
473,1074.27,91.166
474,1030.76,103.931
475,1137.76,72.1305
476,1121.17,70.7649
477,1062.48,80.6441
478,1042.31,81.5804
479,1178.48,72.638
480,1134.23,75.1619
481,1049.77,77.5011
482,997.998,80.2309
483,1107.59,79.4578
484,1080.84,80.4592
485,1147.23,69.3769
486,1153.85,67.8461
487,1171.52,75.1343
488,1172.32,74.4048
489,954.945,108.336
490,955.47,108.074
491,1274.71,61.798
492,1262.46,63.3299
493,1134.19,73.4011
494,1143.82,73.325
495,1046.31,80.5937
496,1037.73,80.5847
497,1011.2,92.593
498,1044.23,90.6014
499,1112.2,79.8339
500,1085.87,81.9364
501,1019.59,84.0207
502,1027.4,84.3274
503,1144.52,74.6917
504,1152.79,74.4605
505,1141.67,86.8832
506,1162.19,81.5901
507,1106.58,76.0869
508,1138.84,72.268
509,1016.78,90.3941
510,1047.99,88.1888
511,1137.08,78.3807
512,1161.23,74.8655
513,1183.83,71.3148
514,1218.75,68.5805
515,1067.31,86.8264
516,1060.28,86.8831
517,997.759,92.1123
518,997.279,91.8172
519,1155.58,70.3793
520,1114.21,75.4403
521,1137.27,71.6808
522,1152.31,71.5854
523,1122.46,79.2275
524,1133.68,79.0425
525,1144.57,76.4485
526,1101.16,83.395
527,1171.83,76.1937
528,1174.69,76.76
529,1081.27,88.8028
530,1107.94,90.0369
531,977.044,92.103
532,980.396,93.4726
533,1021.88,88.8615
534,1012.71,89.7138
535,1177.91,80.6259
536,1177.88,80.193
537,1035.71,86.9416
538,1053.05,85.6237
539,1163.11,73.4495
540,1182.83,72.5005
541,1076.97,92.4278
542,1129.77,85.0281
543,1175.94,75.1041
544,1143.29,77.5112
545,1180.63,77.0158
546,1177.45,78.5644
547,1115.91,74.6744
548,1188.48,69.9734
549,1260.86,72.9605
550,1261.2,73.5501
551,1136.04,80.8395
552,1207.19,72.2055
553,1029.53,89.4497
554,1039.54,89.4357
555,1144.99,72.2338
556,1155.06,73.1511
557,1189.1,76.0931
558,1196.03,76.7516
559,1176.84,73.4773
560,1192.43,72.4023
561,1064.54,88.694
562,1093.34,84.7912
563,978.606,91.813
564,969.163,93.1044
565,1191.96,74.8142
566,1234.6,70.8478
567,1162.68,79.753
568,1157.33,79.4009
569,1112.05,83.9926
570,1082.51,86.4271
571,1147.26,78.39
572,1156.68,78.1007
573,1110.75,81.8313
574,1149.63,72.0505
575,1171.59,78.9117
576,1171.8,76.1945
577,1150.97,75.4412
578,1174.3,72.4318
579,1180.75,82.2119
580,1181.56,81.5286
581,1249,75.0906
582,1244.37,75.2103
583,1116.34,83.5166
584,1101.24,83.8341
585,1243.84,75.441
586,1241.79,75.4762
587,1165.97,77.906
588,1171.23,78.1321
589,1348.49,59.7427
590,1366.33,57.0564
591,1198.54,85.958
592,1169.2,86.4953
593,1221.4,67.7995
594,1200.97,73.0832
595,1241.51,68.9277
596,1226.78,69.1632
597,1162.59,81.5025
598,1119.61,84.6998
599,1280.47,70.776
600,1302.9,70.0535
601,1104.82,80.14
602,1074.35,81.741
603,1162.82,82.4083
604,1178.97,82.5231
605,1171.6,82.6032
606,1167.05,82.3834
607,1051.74,94.3533
608,1066.18,95.5414
609,1148.8,88.007
610,1144.93,87.4026
611,1272.01,65.1903
612,1274.96,65.6351
613,1127.79,85.1342
614,1117.32,88.4914
615,1229,69.4604
616,1242.43,70.3083
617,1286.82,69.967
618,1233.9,81.2526
619,1194.8,81.4191
620,1195.12,81.025
621,1270.48,78.7816
622,1258.16,79.9693
623,1180.61,79.8545
624,1174.31,81.0181
625,1189.88,82.7813
626,1211.02,80.1762
627,1133.32,88.4581
628,1133.07,87.6622
629,1301.9,76.504
630,1284.81,77.3149
631,1046.6,95.927
632,1071,94.3547
633,1162.95,87.3665
634,1199.35,84.4085
635,1181.49,75.9175
636,1179.57,79.2753
637,1237.75,77.1931
638,1275.2,74.1047
639,1208.22,77.0482
640,1229.72,75.5189
641,1242.89,85.5598
642,1243.76,85.2231
643,1187.41,85.9305
644,1258.8,77.2169
645,1270.07,80.8414
